date,area,marketId,location,sourceType,commodityKey,commodity,brand,productName,size,unit,price,priceType,stockStatus,confidence,observedAt,address,sourceUrl
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,38000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,38000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,24000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,24000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,28000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,13000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,13000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,13000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,13000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
